Nom;Telephone;Adresse (Google Maps);Statut
Pharmacie Le Jourdain;+235 65 95 48 48;Ave Mbailembana;Pas sur WhatsApp
Pharmacie Maiguira;+235 66 36 96 76;33WQ+545;Envoye 23/09
Pharmacie Tapaou;+235 66 84 59 70;Moursal;Envoye 23/09
Pharmacie du Salut;+235 66 30 46 98;Avenue Pascal Yoadoumadji (pres Hotel Sherabel);RDV DEMO jeu 24/09 9h-10h (confirme)
Pharmacie Amigo;+235 66 29 09 38;5e arrondissement;Envoye 23/09
Pharmacie Korbo;+235 66 24 30 71;33VW+HX3;Envoye 23/09
Pharmacie La Faune;+235 66 60 42 15;Avenue du 10 Octobre;Envoye 23/09
Pharmacie Baou-Hamana;+235 67 79 35 35;Avenue Charles de Gaulle;Pas sur WhatsApp
Espoir Pharma;+235 68 57 57 33;33FM+V7R;A contacter
Pharmacie du Beguinage;+235 66 36 57 57;Rue du Havre;Envoye 23/09
Pharmacie Baguirmi;+235 66 29 96 55;Av. Djibrine Kherallah;Envoye 23/09
Pharmacie Esperance Hoba;+235 62 22 74 44;N'Djari, face hopital Moderne (24h/24);Envoye 23/09
Pharmacie Diguel;+235 66 61 64 44;Diguel 43RC+M8;Envoye 23/09
Pharmacie Ridalwalideyne;+235 66 33 14 91;Diguel;Envoye 23/09
Pharmacie La Place;+235 66 01 03 02;Avenue Charles de Gaulle;Envoye 23/09
Pharmacie Edene;+235 65 69 52 72;34R3+FJ;Envoye 23/09
Pharmacie Berdei;+235 65 49 87 03;Gardole, face banque de sang;A contacter
Pharmacie La Benediction;+235 97 87 20 18;;A contacter
Pharmacie Bagourfou;+235 66 11 11 02;43HQ+G5M;A contacter
Pharmacie Ben-About;+235 68 66 82 39;4424+VGQ;A contacter
Pharmacie Chari Logone;+235 62 57 57 27;Avenue Felix Malloum;A contacter
Pharmacie La Rose;+235 63 08 80 80;43M2+44V;A contacter
Pharmacie La Fassie;+235 99 93 65 30;;A contacter
Pharmacie Pharma Plus (+ parapharmacie);+235 60 00 79 09;Av. Charles de Gaulle, face Amandine;A contacter
Pharmacie Adala;+235 66 95 28 47;10e arrondissement;A contacter
Depot pharmaceutique Daman;+235 66 65 29 99;4343+2X3;A contacter
Depot pharmaceutique Mercure;+235 66 27 36 19;43MG+JGF;A contacter
Depot pharmaceutique Kadi;+235 66 15 93 27;9e arrondissement;A contacter
Pharmacie du Centre;+235 60 01 00 75;662 Avenue Charles de Gaulle;A contacter
Pharmacie du Sacre-Coeur;+235 66 89 25 48;Gassi, pres du lycee;A contacter
Depot pharmaceutique Saphir;+235 93 16 80 80;(source chadyp.com, ancien);A contacter
